ticker,moat,understandability,balance_sheet_health,marketcap
DUK,3,2,3,84.2B
RCL,2.5,2,2,62.7B
JCI,3,2,4,53.3B
GLW,3,3,4,42.2B
HLT,3,2,2,60.1B
DHI,2,2,4,47.0B
TCOM,2,3,4,42.8B
NVDA,4,3,5,3.3T
PBR,2,4,3,84.7B
CCEP,3,2,4,35.0B
STM,2,3,4,22.3B
PPERY,2,3,4,33.3B
IBN,3,3,4,102.0B
ETR,3,3,3,34.9B
SHW,3,2,3,89.2B
ARGX,4,3,5,39.6B
TDG,4,3,2,74.3B
BSBR,1.5,3,2.5,31.4B
RYAAY,2,2,4,22.4B
CNC,2,4,3,31.7B
MFG,2,3,4,64.3B
GD,3,2,4,73.9B
BDX,3.5,4,4,68.5B
BSX,3,2,4,144.7B
CMG,3,2,4,79.5B
NUE,3,3,4,29.0B
USB,2.5,2.5,4.5,74.9B
ED,3,1,4,32.0B
AME,3,3,4,41.8B
VMC,3,2,3,35.5B
AVB,2,3,4,31.0B
ATEYY,2,2,4,43.6B
MPC,2,3,4,48.8B
CTAS,3,2,4,79.9B
ETN,3,3,4,136.4B
ISRG,4,3,5,208.0B
ACGL,2,4,4,36.2B
DSCSY,3,3,4,31.0B
PWR,3,3,4,49.6B
QSR,3,2,3,27.4B
MCHP,3,3,4,30.2B
CARR,2,2,4,62.6B
PUBGY,3,3,5,25.3B
BABA,2,4,4,196.5B
JNJ,4,2,4,355.8B
SPOT,3,2,3,99.1B
CODYY,1,2,3,44.0B
AMGN,4,3,5,144.8B
FIS,2,3,3,42.4B
KKR,3,4,4,141.4B
TJX,3,2,4,136.5B
MTB,3,2,3,32.5B
TPG,2,4,4,24.2B
MFC,2,4,3,53.9B
BA,2.5,4,2,126.4B
DD,2,3,3,32.0B
WMB,3,3,4,72.1B
HUBB,3,2,4,23.3B
FANG,2,2,4,52.3B
WTKWY,3,2,4,41.1B
MPLX,3,2,4,51.8B
CPNG,2,2,4,40.2B
VZ,2,3,2,161.4B
WEC,3,2,4,31.1B
DECK,3,2,5,31.6B
GEHC,3,3,4,38.8B
GPN,2,3,4,27.8B
EMR,3,3,4,70.2B
DAL,2,2,2,42.7B
TMUS,3,2,3,250.4B
PPRUY,3,4,3,29.8B
SHEL,3,4,3,201.4B
AMAT,3,4,4,151.7B
DOW,2,3,4,28.6B
ABEV,3,2,4,29.6B
FTV,3,4,4,27.3B
ROP,3,3,4,55.7B
HEI,3,3,4,28.6B
DHR,4,3,4,174.7B
IBM,3,4,4,205.9B
SONY,3,3,4,123.3B
ADBE,4,3,4,185.8B
WAB,3,2,4,34.3B
HD,3,2,4,406.6B
AJG,3,3,4,73.9B
V,4,3,4,614.3B
PG,3,2,4,378.0B
OKE,2,3,3,63.3B
SVNDY,3,3,4,40.7B
NGG,3,2,3,57.9B
JD,2,3,4,58.0B
WFC,2,3,4,249.8B
APD,3,4,4,69.4B
DNZOY,2.5,4,4,38.8B
TTE,3,3,4,132.5B
CB,3,3,4,110.3B
BMWKY,3,2,4,49.2B
NSC,3,2,4,55.9B
HAL,2,4,3,25.7B
AIQUY,2,3,4,93.7B
PPL,2,2,3,24.5B
GDDY,2,2,4,28.2B
DELL,2.5,2,4,76.8B
SAN,2,3,3,74.6B
PEP,3,2,4,201.1B
IAU,1,1,5,
GEV,2,4,3,107.8B
GWW,3,2,4,54.1B
BBVA,2,3,4,61.5B
AVGO,3,3,3,1.1T
IDXX,4,3,5,35.1B
NVZMY,2,3,4,25.8B
ELV,3,3,4,89.4B
EQT,3,3,3,32.1B
SPGI,4,3,4,156.8B
FICO,3,3,4,48.0B
HPQ,2,3,4,30.3B
EXR,3,3,4,33.4B
TTWO,2,2,4,32.2B
ANYYY,2,3,4,30.3B
MA,4,2,5,480.2B
LNG,2,3,2,56.9B
LYG,2,2,3,42.5B
AIG,2,4,4,46.5B
INTU,4,2,4,170.0B
IX,2,4,3,23.3B
BMY,3,3,4,114.3B
CEG,3,3,4,98.6B
K,3,2,3,28.1B
TTD,3,2,5,59.6B
NDAQ,3,3,5,45.1B
MMC,3,3,4,106.2B
IRM,3,2,3,32.4B
RKT,2,3,3,23.3B
GFS,3,4,4,22.6B
BNTX,3,4,5,27.0B
ECL,4,2,4,67.7B
ABBV,4,3,3,307.0B
CTSH,2,3,4,38.4B
AMZN,3,2,4,2.3T
HON,3,4,4,144.8B
ANZGY,4,2,3,55.6B
HWM,3,3,4,50.0B
VRTX,4,3,5,107.4B
HOOD,2,3,4,40.7B
OXY,2.5,3,3,49.1B
CPAY,3,2,4,25.8B
SHECY,2,3,4,65.5B
NKE,3,2,4,105.2B
BAC,2,3,3,355.0B
IBKR,3,4,5,79.5B
O,3,2,4,47.8B
DKILY,3,3,4,34.5B
RELX,4,3,4,88.8B
HUM,3,3,3,33.2B
ANSS,4,3,5,30.1B
DLR,3,4,4,60.9B
PRU,3,3,4,42.1B
VLTO,3,3,4,25.7B
DIS,3,3,3,192.8B
GSK,3,3,4,68.2B
KMI,2,3,3,66.8B
DOV,3,2,4,26.7B
AXON,3,2,4,44.7B
CAIXY,3,2,4,40.5B
AAPL,4,3,5,3.4T
IMO,2,3,4,36.1B
FER,2,3,3,30.0B
FRFHF,3,4,3,31.4B
HLN,2,3,3,41.6B
MNST,3,2,5,48.3B
LYB,2,3,3.5,24.9B
ROST,2,2,5,49.2B
ALC,3,3,4,41.6B
DB,1,4,2,36.5B
PLTR,2,3,4,157.7B
CME,3,2,5,83.7B
NWG,2,3,4,40.7B
AEE,2,2,3,25.1B
MDY,2,2,4,
CHD,3,2,4,26.0B
MCD,3,1,4,200.5B
MTD,3,2,4,27.4B
KEYS,3,4,4,28.6B
LULU,3,2,4,45.2B
FCNCA,2,3,4,29.8B
GRMN,3,2,4,41.2B
RDDT,2,3,4,30.7B
KHC,2,2,2,35.0B
KMB,3,2,4,42.2B
SQ,3,3,4,53.5B
BMO,3,3,4,72.8B
INTC,2,3,4,84.8B
CL,3,1,4,72.4B
KR,2,2,3,42.4B
DXCM,4,3,4,33.1B
D,2,2,2,46.3B
RTNTF,3,4,4,121.1B
NOW,3,3,4,218.1B
CRH,3,2,4,64.7B
WPM,2.5,3,4,26.2B
TYL,3,3,4,24.6B
TT,3,2,4,87.5B
UPS,3,2,4,110.9B
MCO,4,2,4,86.8B
BKR,3,2,4,45.8B
GM,2,2,3,57.0B
COR,3,3,4,46.6B
BNS,2,3,4,70.4B
PM,3,2,4,186.3B
MO,3,2,3,86.7B
TRV,3,2,4,55.0B
NEM,3,2,4,47.4B
AMP,3,3,4,53.0B
DDOG,3,3,4,46.5B
PTC,3,4,4,22.5B
BRK-B,4,3,5,997.3B
BP,1,3,4,83.5B
AXP,4,2,4,219.4B
MSTR,2,3,3,90.5B
ZS,3,3,5,28.8B
DASH,2,2,4,71.0B
MS,3,4,3,218.2B
VRT,3,3,3,49.8B
FAST,3,2,5,42.8B
SU,3,2,3,49.3B
VICI,3,2,3,30.9B
HUBS,3,2,4,37.0B
FI,4,3,4,117.3B
TEAM,3,2,4,66.2B
CMCSA,3,3,4,138.9B
CCI,2,2,2,39.4B
XYL,3,3,4,28.9B
FLUT,3,3,4,45.8B
NOK,2.5,3,3,24.1B
MCK,3,2,4,75.6B
AMT,3,3,3,88.8B
WSM,3,2,4,24.5B
AWK,4,2,3,24.6B
BLK,4,3,4,154.2B
VST,2,3,3,59.2B
CSGP,4,3,4,30.1B
IR,3,4,4,36.6B
ALL,3,4,3,50.6B
TAK,3,3,4,41.4B
RBLX,3,3,4,42.8B
CQP,3,4,3,30.0B
CP,3,3,4,69.9B
PCG,3,2,2,37.2B
SPY,1,1,5,
ABNB,2.5,3,4,82.6B
PLD,3,2,4,102.7B
SRE,2,3,3,53.2B
FANUY,4,3,5,26.7B
FCX,2,3,3,57.5B
NTES,3,3,4,65.0B
GLNCY,2.5,3,4,56.1B
PPG,2,3,4,27.7B
SYF,2,3,4,26.4B
RJF,2,3,4,33.8B
UNH,3,3,4,469.9B
APO,3,4,4,93.9B
A,3,2,4,41.3B
CFRUY,2,4,4,103.8B
ON,3,3,4,22.8B
WST,3,3,4,24.4B
RACE,4,2,5,77.5B
CRM,3,4,4,306.2B
TSCO,3,2,4,28.6B
BAM,3,4,4,23.2B
EL,4,3,4,28.0B
WM,4,1,3,84.7B
LEN,2,2,3,38.0B
CHTR,3,2,2,49.3B
CAT,3,2,4,183.7B
LII,2,3,4,22.9B
XOM,2,2,5,489.3B
CI,2,3,4,78.2B
BTI,3,2,3,79.0B
PH,4,3,4,84.8B
UNP,3,2,3,142.4B
ET,3,4,2,69.3B
LPLA,2,4,4,25.9B
SCHW,3,3,4,138.2B
ACN,3,2,4,219.3B
KO,4,2,4,268.2B
SNOW,3,4,4,55.3B
EBAY,3,2,4,31.2B
CBRE,3,2,3,41.2B
RTX,3,3,3,160.3B
BAESY,3,3,4,44.9B
GIB,3,3,4,24.6B
ALNY,2,4,3,32.1B
SLB,3,3,4,58.0B
FDX,2.5,3,3,66.8B
HDB,3,4,4,149.5B
MMM,3,3,3,75.8B
LVS,1,2,2,31.9B
OWL,3,4,3,34.9B
ODFL,4,2,5,40.5B
CM,2,3,3,59.4B
CCL,1,2,2,32.8B
TM,3,3,4,237.7B
E,3,3,3,44.3B
LMT,3,4,4,115.4B
NET,3,3,4,39.4B
VLO,2,2,4,44.1B
CAH,3,2,4,30.7B
MRK,4,3,4,254.7B
UBS,2,4,4,105.6B
ADSK,4,3,4,62.5B
LRCX,3,4,4,101.9B
VRSK,4,4,4,39.3B
MAR,3,2,3,76.7B
MLM,3,2,4,32.5B
PEG,2,2,4,44.1B
SLF,2,3,4,34.0B
DIA,4,2,4,
TOELY,2,3,4,79.0B
EIX,3,2,3,23.7B
